iraniarnavaz,2018-05-13 13:15:04,b'RT @reenaa1307: We will be doomed if ODIN and our bank accounts are not defreezed. #ProtestAgainstPersecution @PMOIndia @narendramodi @Dev_\\u2026'
iraniarnavaz,2018-05-13 13:15:01,b'RT @ManojKomarraju: EOW has been misguided to target 63 moons in NSEL case. Well connected HNIs &amp; brokers have made the mess #protestAgains\\u2026'
KumarN69515955,2018-05-13 13:15:06,b'RT @VeeRSaaH1: #WarAgainstDowry\\n\\u0926\\u0939\\u0947\\u091c \\u092a\\u094d\\u0930\\u0925\\u093e \\u0938\\u092e\\u093e\\u091c \\u092e\\u0947\\u0902 \\u092b\\u0948\\u0932\\u0940  \\u090f\\u0915 \\u0910\\u0938\\u0940 \\u0915\\u0941\\u0930\\u0941\\u0924\\u093f \\u0939\\u0948 \\u091c\\u093f\\u0938\\u0915\\u0947 \\u091a\\u0932\\u0924\\u0947 \\u092c\\u0947\\u091f\\u093f\\u092f\\u094b\\u0902 \\u0915\\u094b \\u0906\\u091c \\u0938\\u092e\\u093e\\u091c \\u092e\\u0947\\u0902 \\u092c\\u0930\\u093e\\u092c\\u0930 \\u0915\\u093e \\u0939\\u0915 \\u0928\\u0939\\u0940\\u0902 \\u092e\\u093f\\u0932 \\u092a\\u093e \\u0930\\u0939\\u093e \\u0939\\u0948\\u2026'
vjsingh878,2018-05-13 13:15:07,"b'RT @Shailen40695693: 18 \\u092e\\u0908 \\u0938\\u0947 \\u0905\\u091f\\u0947\\u0930 \\u0935\\u093f\\u0927\\u093e\\u0928\\u0938\\u092d\\u093e \\u0915\\u094d\\u0937\\u0947\\u0924\\u094d\\u0930 \\u092e\\u0947 \\u0938\\u0918\\u0928 \\u091c\\u0928\\u0938\\u092e\\u094d\\u092a\\u0930\\u094d\\u0915 \\u0905\\u092d\\u093f\\u092f\\u093e\\u0928 \\u0915\\u0940 \\u0936\\u0941\\u0930\\u0941\\u0906\\u0924 \\u0915\\u0930 \\u092a\\u094d\\u0930\\u0924\\u094d\\u092f\\u0947\\u0915 \\u092a\\u094b\\u0932\\u093f\\u0902\\u0917 \\u092c\\u0942\\u0925 \\u092a\\u0930 \\u092e\\u0924\\u0926\\u093e\\u0924\\u093e\\u0913\\u0902 \\u0938\\u0947 \\u092e\\u0941\\u0932\\u093e\\u0915\\u093e\\u0924 \\u0915\\u0930\\u0942\\u0901\\u0917\\u093e,\\u2026'"
iraniarnavaz,2018-05-13 13:15:07,b'RT @dharmendershn: @63moonsofficial #ProtestAgainstPersecution @PMOIndia @narendramodi @Dev_Fadnavis @arunjaitley @FinMinIndia @BJPShivPShu\\u2026'
Nk461512,2018-05-13 13:15:08,b'@SirDeepak_ @RoflRavish @BJP4India @FoodCgGov @BCCI @narendramodi @ArvindKejriwal \\u090f\\u0915 \\u0915\\u094d\\u0930\\u093f\\u0915\\u0947\\u091f \\u092a\\u0930 \\u0939\\u091c\\u093e\\u0930\\u094b\\u0902 \\u0915\\u0930\\u094b\\u0921\\u093c \\u0926\\u093e\\u0902\\u0935 \\u092a\\u2026 https://t.co/3l94qKFii5'
jiteshsingh99,2018-05-13 13:15:08,"b'RT @myogiadityanath: \\u0906\\u091c \\u0905\\u092f\\u094b\\u0927\\u094d\\u092f\\u093e \\u0915\\u0947 \\u0930\\u093e\\u092e\\u0915\\u0925\\u093e \\u092a\\u093e\\u0930\\u094d\\u0915 \\u092e\\u0947\\u0902 \\u091c\\u0928\\u0915\\u092a\\u0941\\u0930-\\u0938\\u0940\\u0924\\u093e\\u092e\\u0922\\u093c\\u0940-\\u0905\\u092f\\u094b\\u0927\\u094d\\u092f\\u093e \\u0938\\u0940\\u0927\\u0940 \\u092c\\u0938 \\u0938\\u0947\\u0935\\u093e \\u0915\\u0947 \\u092f\\u093e\\u0924\\u094d\\u0930\\u093f\\u092f\\u094b\\u0902 \\u0915\\u093e \\u092a\\u0941\\u0937\\u094d\\u092a, \\u0905\\u0902\\u0917\\u0935\\u0938\\u094d\\u0924\\u094d\\u0930 \\u0935 \\u0928\\u0947\\u092a\\u093e\\u0932\\u0940 \\u092d\\u093e\\u0937\\u093e \\u092e\\u0947\\u0902\\u2026'"
SatishVegesna2,2018-05-13 13:15:08,b'@TigerRajaSingh @BJP4Karnataka @AmitShah @narendramodi Rally https://t.co/lLKOqoAmLS'
ansarika1970,2018-05-13 13:15:09,b'@NiranjanTripa16 @_sada_e_haq @sran_vijay @SultanAliqazi2 @satyavan1982 @Sudarsh63169707 @Radheyshyam999\\u2026 https://t.co/MvqyTNHN54'
iManojpoudel,2018-05-13 13:15:10,b'RT @narendramodi: \\u092f\\u0938 \\u092d\\u094d\\u0930\\u092e\\u0923 \\u092e\\u093e\\u0930\\u094d\\u092b\\u093c\\u0924 \\u092d\\u093e\\u0930\\u0924-\\u0928\\u0947\\u092a\\u093e\\u0932 \\u0938\\u092e\\u094d\\u092c\\u0928\\u094d\\u0927\\u092e\\u093e \\u0928\\u092f\\u093e\\u0901 \\u0909\\u0930\\u094d\\u091c\\u093e \\u0925\\u092a\\u093f\\u090f\\u0915\\u094b \\u091b \\u0964 \\u092e \\u0928\\u0947\\u092a\\u093e\\u0932\\u0940 \\u091c\\u0928\\u0924\\u093e \\u0924\\u0925\\u093e \\u0928\\u0947\\u092a\\u093e\\u0932 \\u0938\\u0930\\u0915\\u093e\\u0930\\u0932\\u0947 \\u0926\\u0947\\u0916\\u093e\\u0909\\u0928\\u0941 \\u092d\\u090f\\u0915\\u094b \\u0928\\u094d\\u092f\\u093e\\u0928\\u094b\\u092a\\u0928\\u0915\\u094b \\u0932\\u093e\\u0917\\u093f\\u2026'
